game_id,official_name,official_type
2000020001,Dan O'Rourke,Linesman
2000020002,Paul Stewart,Referee
2000020003,Rob Martell,Referee
2000020004,Brian Murphy,Referee
2000020005,Mike Cvik,Linesman
2000020006,Brad Watson,Referee
2000020007,Gerard Gauthier,Linesman
2000020008,Paul Devorski,Referee
2000020009,Mark Faucette,Referee
2000020010,Blaine Angus,Referee
2000020011,Dave Jackson,Referee
2000020012,Mark Pare,Linesman
2000020013,Don Henderson,Linesman
2000020014,Greg Devorski,Linesman
2000020015,Ray Scapinello,Linesman
2000020016,Bernard Degrace,Referee
2000020017,Pat Dapuzzo,Linesman
2000020018,LEGGO,Referee
2000020019,Stephen Walkom,Referee
2000020020,Conrad Hache,Referee
2000020021,Thor Nelson,Linesman
2000020022,Mark Wheler,Linesman
2000020023,Darren Gibbs,Linesman
2000020024,Dan O'Halloran,Referee
2000020025,LEGGO,Referee
2000020026,Rob Shick,Referee
2000020027,Terry Gregson,Referee
2000020028,Kerry Fraser,Referee
2000020029,Don Van Massenhoven,Referee
2000020030,Dan Marouelli,Referee
2000020031,Paul Stewart,Referee
2000020032,Mike Cvik,Linesman
2000020033,Pierre Champoux,Linesman
2000020034,Ray Scapinello,Linesman
2000020035,Dan Marouelli,Referee
2000020036,Paul Stewart,Referee
2000020037,Kevin Maguire,Referee
2000020038,Andy McElman,Linesman
2000020039,Michael McGeough,Referee
2000020040,Wayne Bonney,Linesman
2000020041,Rob Martell,Referee
2000020042,Stephane Provost,Linesman
2000020043,Michael McGeough,Referee
2000020044,Lonnie Cameron,Linesman
2000020045,Rob Shick,Referee
2000020046,Scott Zelkin,Referee
2000020047,Bill McCreary,Referee
2000020048,Mark Faucette,Referee
2000020049,Brian Mach,Linesman
2000020050,Dan O'Rourke,Linesman
2000020051,Don Henderson,Linesman
2000020052,Dan O'Halloran,Referee
2000020053,Scott Driscoll,Linesman
2000020054,Gerry Gauthier,Linesman
2000020055,Stephen Walkom,Referee
2000020056,Rob Martell,Referee
2000020057,Gordon Broseker,Linesman
2000020058,Dave Jackson,Referee
2000020059,Tom Kowal,Referee
2000020060,Mike Leggo,Referee
2000020061,Brad Lazarowich,Linesman
2000020062,Wayne Bonney,Linesman
2000020063,Rob Shick,Referee
2000020064,Mark Faucette,Referee
2000020065,Lance Roberts,Referee
2000020066,Steve Miller,Linesman
2000020067,Thor Nelson,Linesman
2000020068,Mike Leggo,Referee
2000020069,Lyle Seitz,Linesman
2000020070,Michael McGeough,Referee
